layer,county_fips,county_name,h3,black_alone_apportioned,black_alone_delta,black_alone_point,dem_votes_apportioned,dem_votes_delta,dem_votes_point,hispanic_or_latino_apportioned,hispanic_or_latino_delta,hispanic_or_latino_point,non_hispanic_white_alone_apportioned,non_hispanic_white_alone_delta,non_hispanic_white_alone_point,rep_votes_apportioned,rep_votes_delta,rep_votes_point,total_population_apportioned,total_population_delta,total_population_point,total_votes_apportioned,total_votes_delta,total_votes_point,voting_age_population_apportioned,voting_age_population_delta,voting_age_population_point,white_alone_apportioned,white_alone_delta,white_alone_point
precincts,001,Alamance,872a8bab1ffffff,,,,171.926532,171.926532,0.0,,,,,,,173.59313,173.59313,0.0,,,,345.519662,345.519662,0.0,,,,,,
precincts,001,Alamance,872a8bab2ffffff,,,,839.885225,-358.114775,1198.0,,,,,,,420.409222,-150.590778,571.0,,,,1260.294447,-508.705553,1769.0,,,,,,
precincts,001,Alamance,872a8bab3ffffff,,,,563.436665,-356.563335,920.0,,,,,,,486.710693,-340.289307,827.0,,,,1050.147359,-696.852641,1747.0,,,,,,
precincts,001,Alamance,872a8bab4ffffff,,,,175.732599,-1236.267401,1412.0,,,,,,,155.32173,-1092.67827,1248.0,,,,331.054329,-2328.945671,2660.0,,,,,,
precincts,001,Alamance,872a8bab5ffffff,,,,215.223685,215.223685,0.0,,,,,,,221.519076,221.519076,0.0,,,,436.742761,436.742761,0.0,,,,,,
precincts,001,Alamance,872a8bab6ffffff,,,,134.092624,134.092624,0.0,,,,,,,134.182841,134.182841,0.0,,,,268.275465,268.275465,0.0,,,,,,
precincts,001,Alamance,872a8bac2ffffff,,,,17.758131,17.758131,0.0,,,,,,,26.612736,26.612736,0.0,,,,44.370867,44.370867,0.0,,,,,,
precincts,001,Alamance,872a8bad0ffffff,,,,87.544501,87.544501,0.0,,,,,,,131.576258,131.576258,0.0,,,,219.120759,219.120759,0.0,,,,,,
precincts,001,Alamance,872a8bad1ffffff,,,,89.052972,89.052972,0.0,,,,,,,133.464144,133.464144,0.0,,,,222.517117,222.517117,0.0,,,,,,
precincts,001,Alamance,872a8bad2ffffff,,,,53.246897,53.246897,0.0,,,,,,,88.465849,88.465849,0.0,,,,141.712746,141.712746,0.0,,,,,,
precincts,001,Alamance,872a8bad3ffffff,,,,47.341663,47.341663,0.0,,,,,,,81.035408,81.035408,0.0,,,,128.377071,128.377071,0.0,,,,,,
precincts,001,Alamance,872a8bad4ffffff,,,,89.15686,89.15686,0.0,,,,,,,133.612484,133.612484,0.0,,,,222.769343,222.769343,0.0,,,,,,
precincts,001,Alamance,872a8bad5ffffff,,,,77.793507,77.793507,0.0,,,,,,,116.583107,116.583107,0.0,,,,194.376613,194.376613,0.0,,,,,,
precincts,001,Alamance,872a8bad6ffffff,,,,89.150543,89.150543,0.0,,,,,,,133.603018,133.603018,0.0,,,,222.753561,222.753561,0.0,,,,,,
precincts,001,Alamance,872a8bad8ffffff,,,,41.799892,41.799892,0.0,,,,,,,73.97836,73.97836,0.0,,,,115.778251,115.778251,0.0,,,,,,
precincts,001,Alamance,872a8bad9ffffff,,,,20.429087,20.429087,0.0,,,,,,,45.529424,45.529424,0.0,,,,65.958511,65.958511,0.0,,,,,,
precincts,001,Alamance,872a8badaffffff,,,,40.467169,40.467169,0.0,,,,,,,72.269418,72.269418,0.0,,,,112.736587,112.736587,0.0,,,,,,
precincts,001,Alamance,872a8badbffffff,,,,20.013846,20.013846,0.0,,,,,,,46.056728,46.056728,0.0,,,,66.070574,66.070574,0.0,,,,,,
precincts,001,Alamance,872a8badcffffff,,,,45.663434,45.663434,0.0,,,,,,,71.657133,71.657133,0.0,,,,117.320566,117.320566,0.0,,,,,,
precincts,001,Alamance,872a8baddffffff,,,,11.378202,11.378202,0.0,,,,,,,19.753637,19.753637,0.0,,,,31.131839,31.131839,0.0,,,,,,
precincts,001,Alamance,872a8badeffffff,,,,48.945168,48.945168,0.0,,,,,,,83.042745,83.042745,0.0,,,,131.987913,131.987913,0.0,,,,,,
precincts,001,Alamance,872a8baf0ffffff,,,,2.820637,2.820637,0.0,,,,,,,4.22707,4.22707,0.0,,,,7.047707,7.047707,0.0,,,,,,
